Trait,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro
Confidence,0.423728813559322,0.2391975308641975,0.3024168236032643,0.20649895178197064,0.319047619047619
Emotional Stability,0.3389830508474576,0.2286634460547504,0.2589044460820437,0.2569916855631141,0.3160493827160494
Creativity,0.4915254237288136,0.39548206379325923,0.45596114881162964,0.45701058201058203,0.41770186335403725
Decision-Making,0.3559322033898305,0.27334943639291465,0.2480758208466388,0.43636363636363634,0.40350877192982454
